M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   before CombLoop : Topo Order M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  CombLoop : Topo Order M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before CombLoop : Compute Segments M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  CombLoop : Compute Segments M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: FormalModel : M=1452.76mb, Malloc-M=513mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   after  Check: BuildFormal : M=1452.76mb, Malloc-M=513mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   before Check: GCDB : M=1452.76mb, Malloc-M=513mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   after  Check: GCDB : M=1452.76mb, Malloc-M=513mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   before Check: Tanglewood : M=1452.76mb, Malloc-M=513mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before perf_diagnostics_alerts: report_fv : M=1452.76mb, Malloc-M=513mb, Available-M=92543mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  perf_diagnostics_alerts: report_fv : M=1452.76mb, Malloc-M=515mb, Available-M=92543mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
